date,meter_reading,bill_amount
2021-11-16,335700,147.43
2022-1-13,336300,204.85
2022-3-16,336900,208.65
2022-5-16,337400,208.65
2022-7-14,338000,205.03
2022-9-12,338500,205.03
2022-11-10,339100,208.65
2023-1-9,339500,201.41
2023-3-9,700,219.51
2023-5-8,1600,225.19
2023-7-7,2500,225.19
2023-9-5,3300,221.57
2023-11-2,3900,214.33
2024-1-2,4600,217.95
2024-3-1,5100,210.71
2024-4-30,5800,223.95
2024-6-27,6400,220.33
2024-8-26,7200,227.57
2024-10-25,8000,227.57
2024-12-26,8600,220.33
2025-2-24,9100,216.71
2025-4-24,9700,226.67
2025-6-23,10400,230.29
2025-8-21,11100,230.29
